photo_id,user_id,date,time,lat,long,url_thumb,url_original,category,topic,description,how_resolved_strengthened,other_situations,annoying_important,easy_to_resolve_strengthen,datetime,username
dd0d1aaa-eca1-4a90-96eb-b70bacb6641b,bd27a6b8-dbad-4d1b-bd1b-ec0c7fa4d48a,10-03-2026,16:25:05,47.541534,8.698053,https://urbanbelonging.app/minio/photo-uploads-prod/1b72cf8a-d1bb-4e4a-9163-d96993379dbf-400.jpeg,https://urbanbelonging.app/minio/photo-uploads-prod/1b72cf8a-d1bb-4e4a-9163-d96993379dbf-1600.jpeg,works_well,Trolley Bus,Guter Takt an Trolleybusverbindungen und sinnvolle Linien,,,1.0,2.0,2026-03-10,bueelma
7f62e6ce-c9f1-4835-98e6-77833cccfba7,bd27a6b8-dbad-4d1b-bd1b-ec0c7fa4d48a,10-03-2026,16:25:59,47.554565,8.694488,https://urbanbelonging.app/minio/photo-uploads-prod/882a4f64-9fc1-4cba-8d80-5b4ba25cc1f3-400.jpeg,https://urbanbelonging.app/minio/photo-uploads-prod/882a4f64-9fc1-4cba-8d80-5b4ba25cc1f3-1600.jpeg,works_well,S-Bahn,"Gute S-Bahn-Verbindungen in alle Richtigungen, guter Takt ins Weinland.",,,1.0,1.0,2026-03-10,bueelma
a5425307-1419-4053-8d59-4a082f1142c5,3ca70150-c635-4492-9c37-48be77eb084b,12-03-2026,16:47:12,47.42291,8.684185,https://urbanbelonging.app/minio/photo-uploads-prod/ee3107e3-1b1a-4a60-be48-f2879e16579e-400.jpeg,https://urbanbelonging.app/minio/photo-uploads-prod/ee3107e3-1b1a-4a60-be48-f2879e16579e-1600.jpeg,works_well,"Inclusive to parents, disabled and old people","The bus has a space where parents can leave the uncomfortable child carriages, for old people to sit and for wheelchairs.","This should be strengthened, inclusivity is key for people to perceive the public transport as a good way of moving around.",In tram stations but not aa spacious as in the bus.,1.0,3.0,2026-03-12,fabribg
1c08511a-6117-4448-95f8-38ed5f95d866,3ca70150-c635-4492-9c37-48be77eb084b,12-03-2026,16:50:38,47.42291,8.684185,https://urbanbelonging.app/minio/photo-uploads-prod/0aac5951-ec16-4b4e-8627-e02ed5a1b409-400.jpeg,https://urbanbelonging.app/minio/photo-uploads-prod/0aac5951-ec16-4b4e-8627-e02ed5a1b409-1600.jpeg,works_well,Bike lanes are respected,"Bikes are one the most sustainable ways of moving, it should be respected and encouraged. Even tho there are some bike lanes and this survey is about public transport, i think bike lanes should be more supported in this Grüze area.",It could be maybe strengthened if there were more bike lanes connecting the old town of Winterthur with the Hegi area. And a recreational area for biking (like bmx),,2.0,4.0,2026-03-12,fabribg
004d06c7-cafc-4d73-8bf3-c2d1b261370e,3ca70150-c635-4492-9c37-48be77eb084b,12-03-2026,17:04:37,47.378227,8.537673,https://urbanbelonging.app/minio/photo-uploads-prod/cc31536d-5469-4c7a-b728-d99430e78a6d-400.jpeg,https://urbanbelonging.app/minio/photo-uploads-prod/cc31536d-5469-4c7a-b728-d99430e78a6d-1600.jpeg,works_well,Future networking opportunities close to bus lines,"New networking opportunities make the people want to go out more and use this area, probably using more the public transport and less the car, liberating the space that they need in the streets. This would make the flow of buses more punctual.","More investments in open spaces, green spaces, parks, cafes, bars, restaurants, etc. Places where people enjoy being, rather than just an industrial gray area.",,2.0,2.0,2026-03-12,fabribg
9886c266-6082-41b5-9745-209443482aa9,fa50b577-a1eb-4819-a7c1-931a34c4e2bc,15-03-2026,07:42:05,47.501602,8.751952,https://urbanbelonging.app/minio/photo-uploads-prod/984b76d6-a593-43f1-8199-90e4e74e5094-400.jpeg,https://urbanbelonging.app/minio/photo-uploads-prod/984b76d6-a593-43f1-8199-90e4e74e5094-1600.jpeg,works_well,"Juhuuu die Barriere ist oben, zum Glück muss ich nicht noch die Überführung nehmen.",,"Barriere weiterhin beibehalten, da so der Weg zum Bahnhof extrem verkürzt wird im Vergleich zur Überführung.",,2.0,4.0,2026-03-15,emilie
2ac6377f-34ca-4065-a26e-a5edf9762c08,fa50b577-a1eb-4819-a7c1-931a34c4e2bc,15-03-2026,07:47:26,47.501602,8.751954,https://urbanbelonging.app/minio/photo-uploads-prod/34bf0ac2-df1d-41a5-97aa-62c083496f80-400.jpeg,https://urbanbelonging.app/minio/photo-uploads-prod/34bf0ac2-df1d-41a5-97aa-62c083496f80-1600.jpeg,works_well,,,,,,,2026-03-15,emilie
7e2282a4-8aab-4360-bdec-8def12ff5a96,fa50b577-a1eb-4819-a7c1-931a34c4e2bc,15-03-2026,07:52:45,47.50161,8.751953,https://urbanbelonging.app/minio/photo-uploads-prod/db5881fa-b821-4580-ba92-52d81b5ed06c-400.jpeg,https://urbanbelonging.app/minio/photo-uploads-prod/db5881fa-b821-4580-ba92-52d81b5ed06c-1600.jpeg,works_well,Grosse Fenster für das Landschaften-Beobachten,,,,,,2026-03-15,emilie
a66bf013-3f54-42dc-b946-23173cb9fb17,1e2e7ec8-389b-4c3c-af94-9c5254a92bc5,25-03-2026,09:47:32,47.38898,8.507662,https://urbanbelonging.app/minio/photo-uploads-prod/b1f5fa04-6b2f-4974-bf8e-5996b479fc3d-400.jpeg,https://urbanbelonging.app/minio/photo-uploads-prod/b1f5fa04-6b2f-4974-bf8e-5996b479fc3d-1600.jpeg,works_well,viel Platz in den Zügen,Es ist angenehm und bequem,Auch zu Randzeiten lange Züge anbieten und nicht verkürzen,Teilweise zu Randzeiten,1.0,2.0,2026-03-25,noahb
773c6331-5aa5-43ef-b5ef-6c8610d8ef39,3ca70150-c635-4492-9c37-48be77eb084b,25-03-2026,12:37:18,47.50247,8.764328,https://urbanbelonging.app/minio/photo-uploads-prod/f5f4a448-12d1-4701-93d1-ea6cb53809df-400.jpeg,https://urbanbelonging.app/minio/photo-uploads-prod/f5f4a448-12d1-4701-93d1-ea6cb53809df-1600.jpeg,works_well,On time,Bus arrives and departs on time even on a rainy weather,,,,,2026-03-25,fabribg
